Title,Date,Programing Languange,Status Learn,type
Pascal,,pascal,Not started,native
javascript,,javascript,Not started,native
SQL,,SQL,Done,native
Dart,,dart,Done,native
Php,,PHP,Done,native
Markdown,,markdown,Not started,native
Kotlin,,,Not started,native
SASS /SCSS,,CSS,Not started,native
VB,,VB,In progress,native
Hosting,,hosting,Not started,other
Git snippet,,git,Not started,other
Termux starter pack,,,Not started,other
,,,Not started,other
vscode json,,,Not started,vscode
Laravel,,PHP,In progress,framework
Learn Ai,,,Not started,artificial intelligence
Codeigniter,,PHP,Not started,framework
Tailwind,,CSS,In progress,framework
Express js,,javascript,Not started,framework
React js,,javascript,Done,framework
vscode Rice,,,Not started,vscode
cloud computing,,,Not started,backend
Vue,,javascript,In progress,framework
MongoDB,,,Not started,database
React native,,javascript,In progress,framework
SASS,,,Not started,framework
AI VSCODE,,,Not started,vscode
SheetDB,,,Not started,database
json,,,Not started,database
MERN STACK,,,Not started,framework
Script Google App,,,Not started,Rest API
JS LIBRARY,,,Not started,framework
GET/POST/DELETE,,,Not started,database
