Title,Date,Programing Languange,Status Learn,type
MERN STACK,,,Not started,framework
JS LIBRARY,,,Not started,framework
React js,,javascript,Done,framework
Express js,,javascript,Not started,framework
Codeigniter,,PHP,Not started,framework
Tailwind,,CSS,In progress,framework
Laravel,,PHP,In progress,framework
Vue,,javascript,In progress,framework
React native,,javascript,In progress,framework
SASS,,,Not started,framework
Script Google App,,,Not started,Rest API
vscode json,,,Not started,vscode
Learn Ai,,,Not started,artificial intelligence
Php,,PHP,Done,native
Dart,,dart,Done,native
SQL,,SQL,Done,native
javascript,,javascript,Not started,native
Pascal,,pascal,Not started,native
vscode Rice,,,Not started,vscode
Markdown,,markdown,Not started,native
cloud computing,,,Not started,backend
SASS /SCSS,,CSS,Not started,native
Kotlin,,,Not started,native
MongoDB,,,Not started,database
Termux starter pack,,,Not started,other
Git snippet,,git,Not started,other
Hosting,,hosting,Not started,other
AI VSCODE,,,Not started,vscode
VB,,VB,In progress,native
SheetDB,,,Not started,database
json,,,Not started,database
GET/POST/DELETE,,,Not started,database
,,,Not started,other
